narcissism,gender,age
18,male,50-59
6,male,40-49
27,male,20-29
29,male,30-39
6,male,50-59
19,male,20-29
3,male,40-49
7,female,30-39
20,female,20-29
23,female,20-29
6,male,20-29
30,female,15-19
8,male,40-49
13,female,30-39
34,male,40-49
12,male,30-39
2,male,50-59
17,male,30-39
12,male,50-59
14,female,30-39
14,male,20-29
5,male,30-39
13,male,15-19
12,female,20-29
14,male,40-49
23,female,40-49
7,male,30-39
2,female,30-39
14,female,20-29
9,male,20-29
18,male,15-19
33,male,20-29
28,male,30-39
12,female,30-39
15,male,15-19
22,male,30-39
11,male,30-39
5,male,30-39
12,male,50-59
18,female,20-29
6,female,40-49
24,male,30-39
25,male,40-49
15,male,30-39
13,male,40-49
7,female,30-39
16,female,30-39
22,male,20-29
9,female,40-49
5,male,30-39
22,male,15-19
12,female,40-49
15,female,15-19
6,male,40-49
22,male,20-29
21,male,20-29
19,female,30-39
7,female,40-49
15,female,15-19
17,male,30-39
2,male,20-29
31,male,50-59
7,female,50-59
16,male,40-49
7,male,30-39
39,male,30-39
40,male,20-29
3,male,50-59
30,male,15-19
10,male,50-59
6,male,40-49
8,female,40-49
1,male,30-39
15,female,40-49
15,female,20-29
0,male,50-59
8,male,20-29
4,male,20-29
11,male,20-29
7,female,20-29
11,male,15-19
12,female,30-39
6,female,20-29
22,male,15-19
11,female,30-39
14,male,30-39
23,male,50-59
4,female,30-39
21,male,30-39
19,female,20-29
4,male,40-49
11,female,30-39
19,female,15-19
15,male,20-29
8,male,50-59
39,male,40-49
8,male,15-19
26,male,20-29
23,male,15-19
23,male,50-59
5,male,40-49
36,male,30-39
2,female,30-39
27,male,30-39
4,male,40-49
10,male,30-39
6,male,50-59
9,male,30-39
4,male,20-29
14,male,40-49
17,male,40-49
10,male,30-39
10,male,30-39
8,male,40-49
21,female,20-29
10,male,20-29
12,male,50-59
0,male,40-49
4,male,20-29
5,female,50-59
10,male,30-39
3,female,50-59
27,male,15-19
15,female,30-39
11,female,20-29
17,male,40-49
10,male,20-29
11,male,30-39
19,male,40-49
17,female,40-49
7,male,40-49
12,female,20-29
15,female,40-49
7,female,20-29
18,male,20-29
23,male,20-29
8,female,30-39
11,female,20-29
11,male,20-29
11,male,20-29
5,male,40-49
4,male,40-49
15,male,30-39
