"id","age","gender","hand","country","extra","neuro","agree","concs","open"
"1c879983-407a-4a8c-b725-6dc4c13a0632",32,"female","right","AU",3,2.2,3.4,4.2,3.2
"3db28b88-8586-4145-99a9-94667cfca395",14,"female","right","AU",2.54545454545455,3.6,3.3,2.2,4.1
"09fbf03f-6541-4064-af78-3d7e5a392d69",21,"male","right","AU",2.18181818181818,2.4,4,2.9,4
"7f1851e2-7848-4eb5-8b29-0c2eed3c1555",15,"female","right","AU",3.27272727272727,3.8,4,2.7,3.4
"33298fdc-7cd7-4bdb-bf03-27dda0bb1880",15,"female","right","AU",3.63636363636364,3.4,3.9,2.7,2.6
"386bdf71-0a9f-4dae-80b6-986d51e92836",19,"female","right","AU",2.18181818181818,3.3,3.8,3.6,2.9
"4cf40302-838a-43fd-b1f0-ce60a3b8416d",15,"male","right","AU",2.45454545454545,2.5,2.6,2.7,3.3
"7992860f-873c-4cb1-9394-7e351391947c",15,"male","right","AU",3.63636363636364,1.5,3.4,3.7,4.6
"1e161368-82b4-4805-8967-a56a6a9e6cce",23,"female","left","AU",4,3.6,4.4,4.7,4.3
"bdba6f6d-9123-48cd-bb7a-7764f1434736",19,"male","right","AU",3.54545454545455,3.1,3.8,2.1,4.1
"b1020a5d-47a0-4b6a-8d78-61c86f58b6c5",19,"male","right","AU",2.27272727272727,4,3.1,3.1,4.2
"5f90c5c6-e489-4815-932b-8434595b731c",16,"male","right","AU",2.09090909090909,3.5,4.5,2.7,4.3
"f9918315-e21c-42e1-8478-599e26aa9c87",16,"female","right","AU",2.72727272727273,3.8,4,4.1,3.8
"d9e7d09d-fde1-4ceb-bba6-197bf6c4b780",26,"female","right","AU",3.54545454545455,3,4.2,2.4,4.7
"0197da0c-30f2-485d-9691-e83275e17263",56,"female","right","AU",3.45454545454545,1.3,4.3,4,3.8
"819600cc-1c1f-4fc0-849a-20b8905140de",15,"female","left","AU",2.54545454545455,3.9,4.5,3.5,4.3
"c89cb963-85db-4d74-af14-a0b2dd5685da",17,"male","right","AU",1.54545454545455,4.5,3.8,2.5,4.1
"f2a2e9d8-0c38-479b-be88-2f6c5a9dd63c",48,"female","right","AU",4.09090909090909,2.7,4.5,3.8,4.7
"1d91ae55-8340-4a0e-aa3b-1818413cab61",22,"female","right","AU",3.81818181818182,4.3,4.3,2.5,4.1
"5c666ab8-61f3-418d-b5a8-e7d9056fb6a4",14,"female","right","AU",1.81818181818182,4.3,3.1,3.5,3.2
"f4a8af24-6aba-4b5b-900b-718d5908eeec",18,"female","right","AU",3.90909090909091,3.6,2.7,2.9,3.3
"83d12331-189a-4e78-8dc5-e65f7afe42b7",28,"female","right","AU",3,3,4.5,4,2.8
"c49850bf-befd-4e1f-8641-24422aa16aff",32,"female","left","AU",2,2.1,4.3,3.5,4.5
"9c181d05-f9b2-4e96-bf35-008fae7b4701",29,"female","right","AU",2.45454545454545,3.4,4.4,3.6,4.3
"51ae4ca0-b4b6-402f-a138-78734c7a4ba6",16,"male","right","AU",3.81818181818182,2.3,3.5,3.1,3.9
"3c5b135d-dc55-4686-aeb4-5bbbb0523e87",23,"female","right","AU",3.09090909090909,3.1,4.1,2.7,4.2
"4b038e75-6aaf-4258-a0a6-073c91a36d68",30,"male","right","AU",2,4,2,2.9,3
"b304052e-44e5-47eb-b3db-37f7d73757de",14,"female","right","AU",3.27272727272727,2,4.3,4.9,3.9
"f57dc973-c1bf-4b76-8da2-c0254fffb9d1",48,"male","right","AU",1.81818181818182,1.6,4.1,4.4,2.9
"4442a8d2-3074-4c59-a709-4729c2d05352",54,"female","right","AU",3.63636363636364,2.6,3.7,3.9,4.1
"963360e0-8654-4c7a-a81a-69b0e84fbc89",30,"female","right","AU",3.54545454545455,3.5,4.2,3.6,3.9
"991194c6-9643-4a11-aecf-5ddaf37fe1bb",26,"female","right","AU",3.72727272727273,2.9,4.7,4.9,4.5
"5e10f090-91d8-4cde-977e-1631d311e4ce",30,"male","right","AU",4.09090909090909,2.6,2.7,2.3,4.5
"01e12fda-0c0d-4448-bb1d-28bc2bce0ea1",21,"female","right","AU",2.45454545454545,2.2,4.1,3.6,3.9
"000dbf1c-6d51-4d0d-a12e-e87d542bed32",28,"male","right","AU",3.45454545454545,2.1,3.1,2.6,3.4
"2f0248e7-b10f-49be-b4d4-f565caad0a66",21,"male","right","AU",2.72727272727273,2.8,3.8,3.2,5
"4445479b-1664-432c-bd67-ad714929405e",15,"female","right","AU",1.36363636363636,4.6,2.7,1.6,2.8
"cff5dcbb-8ba0-449e-be29-d3df2ee0466f",16,"female","right","AU",4.09090909090909,4.4,1.8,4.6,4.8
"4b1cb2fc-d547-408b-be89-db3ca214a5d8",17,"female","right","AU",2.27272727272727,3.9,3.8,2.4,4.1
"dde21606-b3ce-4080-b085-63273e1d39bc",49,"male","right","AU",2.09090909090909,2.1,2.1,4.8,4.1
"135feec7-e5a3-4f77-925a-02caf046d00b",18,"female","right","AU",2.72727272727273,3.8,3.8,2.3,5
"df6a1c81-4a92-47d8-bae4-33e8eaff7e9b",17,"male","right","AU",2.27272727272727,3.2,2.6,2.4,2.1
"7ac95d77-c7ce-435b-8ba7-9032de08d6bd",17,"female","right","AU",3.63636363636364,4.3,3.4,2.5,3.9
"8af313dc-7cce-477e-8707-bc6ac9a455a0",20,"female","right","AU",3.18181818181818,4.6,3.6,3.1,4.5
"c4568b2f-eb4c-41e1-9dfb-f28d9cbc6aef",19,"female","left","AU",2.36363636363636,3.7,3,2.5,3.9
"60bb2083-b363-4cb1-b128-399d9fdf5ed4",16,"male","right","AU",2.18181818181818,2.7,3.7,3.6,3.2
"00825ff1-90e2-44e5-b83e-3c9f15f7fced",19,"female","right","AU",2.54545454545455,3.2,3,3.3,3.8
"6dd000da-9879-45f4-b77c-7f89c087ad02",16,"female","right","AU",3.54545454545455,2.6,3.8,3.6,3.2
"6eef3d91-52c0-4f19-a2a6-2ce356564a99",67,"male","right","AU",3.09090909090909,3,3.6,3.6,3.2
"29f2ea24-6e42-4100-a088-5c00051b842c",28,"female","right","AU",2.63636363636364,2.8,4.6,3.5,4.4
"dd99c5ee-a249-457e-82c9-0e42fa5b8d28",39,"female","right","AU",3.36363636363636,3.8,4.6,4.3,3.7
"65ebb7cb-a464-45b0-812c-81edf5e00e8f",17,"male","right","AU",2.18181818181818,1.9,2.8,2.9,2.8
"51015fe0-5f49-45f6-9994-24e16ea3b58d",14,"female","right","AU",4.09090909090909,4.1,4.3,3.4,4.5
"e44b8500-b1e1-4d24-9ef9-cacd6baa3741",15,"female","right","AU",1.81818181818182,4.8,4.3,4.6,4.5
"72779d95-c643-4270-a1c1-0e2bbbd80920",17,"male","right","AU",2.72727272727273,2.2,3.5,3.2,4
"2726a277-0d72-413d-98d0-c098e0d21770",21,"male","right","AU",2.72727272727273,3.8,3.9,2.9,3.6
"9e90b12e-beb4-44c3-8d3b-776e54fca0c0",42,"female","right","AU",3.36363636363636,2.4,3.9,3.6,4.1
"08cd35ed-4b8b-49e9-a59b-233c794cc283",20,"female","right","AU",2.09090909090909,3.4,4.2,3,4
"5e9b3565-3cc6-4ac4-87c7-f3663860b0fc",15,"female","right","AU",3.09090909090909,3.2,4,2.8,4.2
"151d295e-9946-4dbb-acd0-fa93c60f3339",44,"male","right","AU",3,1.5,4.4,4.7,5
"682ba603-15a9-4ca7-9f68-978c20cfd7ce",16,"female","right","AU",3.18181818181818,3.8,4.2,2.5,2.6
"dba90e7c-5dee-461a-a225-fb5ac6f125d6",30,"female","right","AU",3.72727272727273,3.8,3.7,2.7,3.2
"2f4b319c-5444-477f-8083-55bcbf10a3d5",14,"female","right","AU",3.36363636363636,2.7,4,2.3,3.2
"75cae48f-9025-40d1-8d1c-e468a660dc81",14,"female","right","AU",2.09090909090909,3.4,3.6,2.8,4.3
"f696b391-301c-49e4-bd32-2d4289cf6256",34,"male","right","AU",3.09090909090909,3.1,4,2.6,4.1
"0e9e3878-00b9-4ae9-a3e5-9360ff20f4de",28,"male","right","AU",2.72727272727273,3,3.6,4.5,3
"959ca52b-97ab-478b-93d9-64124148a4c6",23,"male","right","AU",2.09090909090909,3.5,3.2,4.5,4.7
"c87ceb22-77be-43e1-9f3f-fa4cdad87d38",25,"male","right","AU",2.27272727272727,3.2,1.9,3.6,2.8
"484fdd01-9e16-40c5-8f9c-d33faba7c73a",45,"male","right","AU",2.63636363636364,2.4,3.8,3.4,3.6
"916e28cc-447e-490a-99be-b219c03adc49",15,"female","right","AU",3.09090909090909,3.1,4.8,3.2,3.6
"1c3023d5-054b-41f5-83dd-077df3eaaec0",31,"female","left","AU",3.63636363636364,3.3,4.2,3,3.9
"5e38e36c-06e0-42b4-a894-7b634311713c",34,"female","right","AU",3.63636363636364,3,4.1,4.6,3.2
"250d92ea-5d08-4403-b1b8-9d5b5a8ebf38",43,"female","right","AU",3.18181818181818,3.3,3.7,2.9,3.7
